ID;Process step;;User Action Required;;Changing process parameter;;End-point detection;;;Precautions/Conditions;;Image
<ID>;Process step;<group>;<y/n>;<Description>;<Name>;<Measurement method>;<y/n>;<Description>;<Estimated Time>;<Short Desc>;<Long Description>;
100;Cleaning;Cleaning;y;In a beaker, carefully pour distilled water on the electrode;;;;;;;;
101;Connect Board;Connection;y;Plug the board into the connector;GPIO;GPIO;y;GPIO;30;Not plugged in;No other sensor board should be plugged in; 
102;Fill in acid;preparation;y;Fill in H2PO4 solution;Filling level;?;y;TRUE/FALSE;30;-;-;
103;Perform CV;Analyse;n;perform CV until CV is stable;CV curve;CV;y;CV;900;-;-; 
104;Rinsing;Cleaning;y;Pour out acid, rinse with water;Conductivity;Impedance analysis;y;Filling level;60;-;-;
199;Switch on PalmSens;Measurement;y;Press Power button on PalmSens;-;-;-;-;-;-;-;power.gif
200;Potassiumhexacyanidoferrate;Measurement; ; ; ; ; ; ; ; ; ; 
201;Power Palmsens;Measurement;y;Connect the PalmSens to a power supply with the given power adapter;-;-;-;-;-;Handle with care;The PalmSens sided connecter should be inserted with care. ;palmsens.gif
202;deoxygeneate solution with Nitrogen;Measurement;;put the tube connected to Nitrogen pump into solution and open valve;;;;;20;;;degasify.gif
203;Connect PalmSens USB;connection;y;Connect the PalmSens to the PC/Laptop with a USB-RS232 Cable.;usb port access;checks idvendor and idproduct of cable rs232;-;-;-;Don't forget adapter;Ensure that the gender changer and the null modem are connected on PalmSens side.;usb_new.gif
204;Start PSTrace Software;Measurement;n;Click on PSTrace to start PSTrace software;New Task is created in Windows;Check Tasks with Python;-;-;-;-;-;pstrace.gif
205;Connect Software to PalmSens;Measurement;y;chooses COM Port;-;-;-;-;-;-;-;connect.gif
206;Load CV method;;;load saved method using pstrace interface;;;;;;;;palmsens.gif
207;Set right values;;;;;;;;;;;palmsens.gif
208;connect Sensor cable to Palmsens;;;;;;;;;;;montage.gif
209;Reference electrode connection;connection;;connect RE cable (blue) to commercial reference electrode using a clamp;;;;;;;;power1.gif
210;Working electrode connection;;;connect WE cable (red) to red connector of breakoutboard;;;;;;;;usb1.gif
211;Counter electrode connection;;;connect CE cable (black) to black connector of breakoutboard;;;;;;;;usb1.gif
212;sensor board connection;;;plug sensor into board;;;;;;;;usb1.gif
213;take the laboratory stand and put upper clamp really high;montage;;;;;;;;;;usb1.gif
214;Mount breaktouboard to upper clamp of laboratory stand;montage;;;;;;;;;;usb1.gif
215;Mount container with potassiumhexacyanidoferrat to lower clamp of laboratory stand;montage;;;;;;;;;;usb1.gif
216;Change height of upper clamp, that sensor dips in solution;montage;;;;;;;;;;usb1.gif
217;Start measurement;;;;;;;;;;;usb1.gif
218;Prepare potassiumhexacyanidoferrat solution;Measurement;;pour  potassiumhexacyanidoferrat in water;;;;;;;;usb1.gif
219;Deoxygeneate solution with stickstoff;;;;;;;;;;;usb1.gif
220;step probe;try;y;probe;probe works;result;n;stdout;30;try to create step ;only give id number and all info will be extracted ;usb1.gif
221;Plot data;Analyse;y;Enter name of data file you would like to plot;;;n;;0;only csv files;csv files need to be converted to UTF8 format before submission ;
222;Create PalmSens method;Measurement;y;Enter wished parameters of the method;;;n;;;;;methood.gif
300;Network-IP-Info;;;;;;;;;;;
301;;networkinfo;y;;info;;y;info;10;;;
400;Hauptmenü;;;;;;;;;;;
